experience_years,course_grades,projects_completed,extracurriculars,job_offer,C++,Data Analysis,Java,Machine Learning,Python,SQL
3,64.86,1,0,0,0,3,0,0,3,3
5,68.6,0,2,1,2,0,2,0,0,0
1,61.49,9,1,0,0,1,0,0,0,0
1,65.63,7,2,0,0,0,3,3,0,3
0,96.69,7,4,1,0,0,3,0,3,3
1,78.38,7,2,1,0,0,0,0,0,1
4,63.11,9,0,1,0,0,0,1,0,0
1,98.39,6,1,0,0,0,0,3,3,3
3,95.16,1,1,1,0,2,0,0,2,0
3,90.19,3,0,1,0,0,2,0,0,2
3,97.34,8,2,0,0,0,1,0,0,0
3,68.81,7,1,1,3,3,0,0,3,0
4,93.45,3,1,1,0,0,0,1,0,0
2,87.6,7,4,0,0,0,1,0,0,0
5,94.79,9,0,1,3,0,3,3,0,0
0,91.88,5,2,1,0,2,0,2,0,0
3,73.86,8,2,0,0,0,2,2,0,0
1,90.98,0,1,1,0,3,3,0,0,3
3,70.5,5,3,1,0,2,0,0,0,2
1,73.14,3,4,0,2,0,0,2,0,0
5,64.32,2,4,0,0,0,1,0,0,0
5,97.4,4,4,1,0,0,0,0,1,0
5,71.64,9,1,0,0,0,0,2,2,0
1,80.82,7,0,0,0,3,3,3,0,0
3,75.65,9,0,1,0,0,0,0,1,0
5,98.4,5,4,0,0,3,3,0,3,0
4,73.4,0,3,1,0,0,0,0,1,0
1,91.14,5,3,1,0,0,0,2,2,0
1,94.22,6,2,0,0,0,0,0,0,1
3,77.42,5,3,0,3,0,3,3,0,0
1,75.13,2,4,0,3,3,0,3,0,0
1,89.91,8,2,1,1,0,0,0,0,0
5,96.52,9,4,0,0,0,2,0,2,0
3,90.2,9,0,1,0,1,0,0,0,0
5,69.09,3,4,0,2,0,0,0,0,2
5,95.53,4,2,1,2,0,0,0,2,0
3,75.5,4,4,1,0,3,0,3,3,0
0,83.05,2,1,0,0,2,0,0,0,2
5,93.26,1,2,1,0,0,1,0,0,0
4,67.54,7,3,1,0,0,1,0,0,0
4,91.38,6,0,1,3,3,3,0,0,0
1,83.85,4,3,0,0,0,0,0,0,1
4,95.73,0,4,0,0,0,2,0,2,0
1,66.88,9,3,0,0,0,0,2,2,0
0,76.83,0,2,0,0,1,0,0,0,0
3,93.31,7,1,0,0,3,3,0,3,0
3,60.77,3,3,0,1,0,0,0,0,0
3,64.49,3,4,0,2,0,2,0,0,0
4,99.62,8,3,1,0,0,2,0,2,0
0,71.22,1,3,1,2,0,0,0,2,0
4,99.02,4,2,0,2,0,0,0,0,2
4,67.3,5,4,1,0,2,0,2,0,0
0,74.44,5,4,0,3,3,3,0,0,0
0,90.11,9,1,1,0,0,0,0,0,1
0,86.31,2,2,0,0,0,0,0,1,0
0,83.24,9,2,1,0,3,0,3,3,0
3,81.2,5,0,1,0,0,0,3,3,3
2,93.74,9,1,1,3,0,3,3,0,0
2,69.4,9,1,0,0,0,0,1,0,0
0,77.7,4,4,0,0,0,1,0,0,0
2,66.22,7,4,1,0,0,0,1,0,0
2,83.84,3,1,1,0,1,0,0,0,0
0,70.02,9,2,1,1,0,0,0,0,0
2,73.35,9,0,0,0,0,0,1,0,0
4,78.85,2,4,0,0,0,0,1,0,0
1,61.07,5,0,0,0,3,0,3,3,0
1,63.68,9,1,0,0,2,0,2,0,0
0,87.44,8,2,1,0,3,0,3,0,3
3,77.16,7,0,0,0,1,0,0,0,0
0,94.59,9,3,1,0,3,3,0,0,3
3,87.79,7,1,1,0,0,2,0,0,2
1,60.32,2,2,0,0,0,0,0,2,2
0,84.67,0,1,0,1,0,0,0,0,0
5,63.75,2,1,0,0,3,0,3,3,0
4,91.24,2,0,0,0,0,3,3,0,3
2,99.66,5,0,0,0,0,0,0,0,1
3,81.25,2,3,1,0,0,1,0,0,0
5,87.31,1,4,1,0,0,2,0,0,2
2,69.49,8,3,0,0,0,0,2,0,2
2,77.5,5,2,1,0,3,0,3,3,0
0,94.24,4,2,1,0,0,0,3,3,3
2,66.7,2,1,0,0,0,0,0,0,1
4,70.62,6,0,1,0,0,0,0,1,0
5,77.82,6,1,1,0,0,3,3,0,3
2,88.49,3,4,1,0,0,2,2,0,0
0,75.04,9,1,0,0,3,3,0,0,3
4,97.11,1,2,0,3,0,0,0,3,3
1,63.78,1,2,1,0,1,0,0,0,0
5,74.83,7,3,0,0,0,0,0,2,2
2,88.36,3,1,1,0,0,0,0,0,1
0,69.04,6,0,1,0,1,0,0,0,0
1,86.26,2,4,0,2,0,2,0,0,0
1,66.57,8,4,0,3,3,0,0,3,0
3,62.24,9,0,0,0,0,0,0,1,0
4,64.84,8,4,1,0,0,3,3,3,0
2,97.2,6,0,0,0,2,0,2,0,0
0,82.07,6,0,1,1,0,0,0,0,0
3,91.85,0,3,0,0,0,0,0,1,0
4,73.31,9,1,0,0,0,0,0,2,2
3,83.71,7,2,0,0,2,2,0,0,0
5,79.8,1,2,0,3,0,0,0,3,3
4,97.83,7,1,1,0,3,3,3,0,0
4,89.9,1,4,0,0,0,1,0,0,0
2,89.22,0,0,1,0,0,2,0,2,0
4,61.85,7,2,1,3,0,3,0,0,3
3,81.99,3,3,0,0,0,2,0,2,0
4,78.68,9,4,1,2,0,0,0,2,0
2,97.11,5,3,1,0,0,1,0,0,0
2,70.29,9,2,1,0,2,0,0,0,2
5,70.79,9,1,0,0,0,1,0,0,0
3,76.45,0,1,0,0,1,0,0,0,0
1,69.73,8,3,0,1,0,0,0,0,0
1,65.17,6,4,0,0,0,0,0,2,2
4,94.3,4,2,1,0,0,0,2,0,2
5,82.33,5,0,1,0,2,0,2,0,0
0,94.45,2,1,0,0,2,0,0,2,0
4,93.25,8,3,1,0,0,2,2,0,0
5,71.28,1,2,1,0,2,0,0,2,0
3,81.91,9,4,1,3,0,0,3,0,3
3,63.33,0,0,0,0,2,0,2,0,0
3,96.61,0,0,1,1,0,0,0,0,0
3,76.17,9,1,0,0,0,3,0,3,3
3,75.75,1,0,0,3,0,3,0,3,0
5,72.11,5,2,1,2,0,0,0,2,0
5,78.43,5,1,1,0,3,0,3,0,3
2,70.07,8,1,1,0,0,0,3,3,3
1,74.99,9,1,1,3,3,0,0,0,3
3,92.0,3,2,1,0,0,3,3,0,3
0,93.37,7,3,0,1,0,0,0,0,0
5,72.17,3,0,0,3,0,3,0,0,3
0,78.76,2,0,1,0,0,0,2,2,0
0,94.95,3,3,0,0,0,2,0,0,2
0,62.11,0,1,0,0,2,0,2,0,0
2,95.57,8,4,0,3,0,0,3,0,3
5,68.77,4,2,1,0,2,2,0,0,0
0,87.14,6,1,1,3,0,3,0,3,0
3,83.3,2,1,0,0,2,0,2,0,0
4,82.12,4,1,1,0,0,2,0,2,0
0,94.37,9,0,0,0,0,3,3,0,3
2,64.06,3,0,0,0,0,0,0,1,0
5,73.88,6,4,1,0,0,1,0,0,0
2,81.53,4,2,1,0,0,0,2,2,0
0,92.45,1,1,0,2,0,0,2,0,0
5,68.66,2,0,0,0,1,0,0,0,0
4,92.12,7,3,1,3,3,0,3,0,0
0,75.99,2,0,1,0,0,1,0,0,0
2,67.56,6,1,0,0,3,0,3,3,0
1,90.36,4,1,1,0,2,2,0,0,0
3,63.64,6,0,1,3,0,0,3,3,0
2,80.59,9,3,1,3,0,3,0,3,0
5,62.56,8,3,0,1,0,0,0,0,0
0,74.26,6,1,1,0,3,0,3,0,3
3,84.04,5,0,0,0,2,0,2,0,0
0,82.24,0,2,1,2,0,0,2,0,0
5,76.19,3,2,0,0,1,0,0,0,0
0,77.16,7,1,0,2,0,0,0,0,2
1,69.07,0,3,0,0,1,0,0,0,0
3,78.24,5,2,1,2,0,0,2,0,0
3,98.13,1,0,0,3,0,3,0,0,3
5,94.02,8,4,1,0,1,0,0,0,0
1,65.81,7,4,0,0,0,2,0,0,2
2,61.19,8,3,0,0,0,0,2,0,2
0,97.34,8,4,0,0,0,1,0,0,0
4,81.07,1,0,0,0,0,1,0,0,0
0,81.51,1,1,0,0,2,2,0,0,0
0,91.23,8,1,1,3,0,3,0,3,0
2,72.59,1,0,1,0,0,0,2,0,2
0,79.28,3,1,0,2,0,0,0,2,0
1,98.75,1,0,1,1,0,0,0,0,0
1,86.89,0,0,0,0,0,0,2,2,0
3,66.15,9,4,1,3,3,0,0,3,0
5,65.33,6,4,0,2,0,0,0,0,2
4,68.17,4,3,1,0,2,0,2,0,0
0,90.67,2,4,1,3,3,3,0,0,0
0,71.82,7,1,1,2,2,0,0,0,0
2,60.86,4,4,0,1,0,0,0,0,0
5,97.77,0,0,1,2,2,0,0,0,0
1,66.79,8,4,1,3,3,3,0,0,0
4,60.38,4,1,0,3,0,0,3,3,0
3,69.49,2,3,1,0,3,0,3,3,0
1,69.4,5,2,0,3,3,3,0,0,0
5,76.88,7,0,1,0,0,0,0,1,0
3,96.82,1,1,0,2,0,0,0,0,2
2,95.17,2,1,0,1,0,0,0,0,0
2,78.28,6,2,0,2,0,0,0,0,2
0,76.44,1,3,0,2,0,0,0,0,2
5,82.2,4,0,0,1,0,0,0,0,0
4,69.74,8,3,0,0,1,0,0,0,0
3,62.09,6,2,0,0,0,3,0,3,3
1,97.57,2,0,0,0,3,0,3,3,0
5,67.47,1,4,1,0,0,1,0,0,0
5,67.94,9,3,1,0,0,0,1,0,0
2,78.9,8,4,1,0,0,1,0,0,0
0,79.66,8,0,1,1,0,0,0,0,0
0,60.74,8,2,0,0,0,3,3,3,0
3,65.92,9,4,1,0,2,0,0,0,2
2,75.13,2,4,0,0,0,2,2,0,0
5,87.35,0,1,1,0,3,3,0,3,0
4,69.14,8,0,0,0,0,0,2,2,0
2,76.92,6,2,0,0,0,0,0,0,1
3,82.29,1,1,1,3,3,0,3,0,0
3,95.54,5,3,0,0,3,3,0,3,0
2,73.04,8,2,0,0,1,0,0,0,0
3,65.34,7,1,0,0,2,0,2,0,0
2,79.57,5,3,1,0,0,0,1,0,0
1,89.87,5,2,1,0,0,0,0,0,1
2,64.39,7,1,1,3,0,0,0,3,3
2,76.99,8,2,1,0,3,0,0,3,3
3,60.71,7,4,1,2,0,0,0,2,0
3,61.34,0,1,1,2,0,0,0,0,2
0,79.32,1,4,0,3,3,3,0,0,0
0,71.93,5,1,1,3,0,0,3,0,3
1,93.8,7,4,1,2,0,0,2,0,0
0,84.09,3,0,1,0,0,2,0,0,2
2,78.16,3,4,0,0,0,0,0,0,1
3,76.32,1,0,1,2,0,2,0,0,0
0,79.89,9,2,0,3,0,0,3,0,3
0,61.62,0,3,0,1,0,0,0,0,0
1,95.71,9,3,0,2,0,2,0,0,0
5,99.93,8,3,0,0,0,0,0,0,1
1,67.26,6,0,1,0,2,0,0,0,2
2,64.82,8,3,1,0,3,0,0,3,3
3,65.74,1,3,1,0,3,3,0,3,0
1,86.44,9,4,0,3,3,3,0,0,0
0,86.46,4,3,0,3,3,0,3,0,0
3,93.92,1,0,0,0,0,0,0,1,0
3,90.07,9,4,1,2,0,2,0,0,0
0,77.99,6,0,0,0,0,3,3,0,3
1,84.51,8,1,1,0,2,0,2,0,0
0,87.53,2,3,0,2,0,0,2,0,0
5,80.51,0,0,1,2,0,0,0,0,2
3,79.03,3,0,1,0,2,0,0,0,2
4,85.8,3,4,0,0,0,0,0,1,0
4,82.3,5,1,1,0,0,3,0,3,3
2,85.76,4,1,0,0,3,3,3,0,0
0,84.51,4,3,1,0,1,0,0,0,0
0,88.77,8,2,1,0,0,0,2,0,2
2,85.71,0,2,0,0,0,0,3,3,3
2,80.79,7,4,0,0,0,0,0,0,1
2,87.27,7,3,1,0,0,0,0,0,1
3,77.98,7,4,0,0,0,0,0,0,1
5,69.67,2,3,1,0,1,0,0,0,0
0,60.06,9,1,1,0,0,3,0,3,3
3,82.4,7,2,1,0,0,0,1,0,0
2,83.63,1,0,1,0,2,2,0,0,0
0,98.88,7,2,1,3,0,0,3,3,0
3,74.46,7,3,1,3,0,0,3,0,3
5,75.77,2,2,0,0,0,2,0,0,2
3,68.07,3,0,0,0,0,0,0,0,1
5,62.82,8,1,1,0,2,0,0,2,0
2,90.91,8,1,0,2,0,0,0,2,0
5,69.99,9,3,1,0,3,3,0,3,0
0,84.36,8,2,1,0,0,0,1,0,0
2,87.51,9,3,0,0,0,2,0,2,0
0,78.85,5,2,0,0,0,0,1,0,0
4,95.05,0,4,0,0,2,0,2,0,0
1,77.75,7,3,0,3,0,3,3,0,0
5,71.4,8,2,0,2,0,0,0,0,2
1,95.84,7,4,1,3,0,0,0,3,3
1,94.46,0,3,1,0,3,3,0,3,0
5,66.56,5,1,0,0,0,3,0,3,3
2,61.04,8,4,0,0,0,1,0,0,0
4,63.6,8,3,0,0,0,0,1,0,0
0,71.46,6,0,0,0,0,1,0,0,0
3,98.89,6,1,1,1,0,0,0,0,0
0,82.34,3,4,0,0,2,0,2,0,0
3,74.93,6,2,0,0,0,0,0,2,2
0,95.55,9,0,1,0,0,0,0,0,1
5,78.13,4,2,0,3,0,0,0,3,3
4,72.61,9,0,0,0,3,3,0,0,3
3,97.65,4,3,0,0,0,0,2,2,0
2,93.98,0,3,1,0,1,0,0,0,0
0,93.75,1,2,1,0,0,0,0,0,1
0,80.49,8,2,0,0,0,0,0,1,0
3,91.58,1,2,1,0,0,1,0,0,0
2,67.17,9,4,1,0,2,0,2,0,0
2,82.93,1,1,1,2,0,0,0,2,0
5,99.35,8,2,1,0,2,0,0,0,2
5,71.64,2,3,0,3,3,0,0,0,3
5,91.77,1,3,1,0,0,0,2,2,0
5,79.62,6,2,1,1,0,0,0,0,0
5,61.59,8,2,1,0,3,0,3,0,3
5,90.52,5,3,1,0,0,0,0,1,0
4,66.74,6,4,1,0,1,0,0,0,0
2,85.26,2,0,1,0,0,0,3,3,3
5,63.43,2,3,0,3,0,3,0,3,0
2,97.87,7,0,0,3,3,0,0,0,3
2,71.67,6,2,0,0,0,0,1,0,0
1,69.06,4,1,0,2,2,0,0,0,0
4,65.17,5,2,0,1,0,0,0,0,0
5,97.84,8,2,0,2,0,0,0,0,2
0,88.48,2,2,1,0,2,0,0,2,0
3,89.67,2,3,0,0,0,0,0,0,1
0,79.98,5,3,0,2,2,0,0,0,0
4,78.99,7,1,1,2,2,0,0,0,0
3,64.4,4,0,1,3,3,0,0,3,0
4,82.39,0,0,1,0,2,0,0,0,2
2,69.88,2,0,1,1,0,0,0,0,0
3,99.09,7,2,1,3,0,0,3,3,0
2,91.86,3,1,1,0,0,2,0,2,0
0,76.52,8,2,0,3,0,0,3,0,3
0,66.05,5,1,0,3,0,3,0,3,0
3,91.41,9,4,1,0,0,2,2,0,0
3,64.88,3,3,1,2,2,0,0,0,0
5,67.57,3,2,1,0,0,0,0,1,0
4,68.46,9,4,0,0,3,3,3,0,0
5,82.28,4,0,1,0,0,0,2,2,0
4,91.48,6,4,1,3,0,3,0,3,0
5,72.57,6,3,1,1,0,0,0,0,0
2,63.39,9,3,0,0,1,0,0,0,0
3,78.58,6,3,0,1,0,0,0,0,0
0,89.92,4,4,1,0,3,0,3,0,3
4,68.87,8,0,0,2,2,0,0,0,0
4,68.8,1,2,1,1,0,0,0,0,0
0,97.89,7,0,1,3,3,3,0,0,0
5,98.17,9,1,1,0,0,3,3,3,0
4,99.62,7,1,0,2,0,0,0,0,2
2,92.31,2,2,1,0,3,0,0,3,3
3,67.53,4,3,0,3,0,0,3,0,3
0,68.48,7,2,1,1,0,0,0,0,0
3,73.61,9,4,0,3,0,0,3,0,3
4,72.73,8,3,0,3,3,0,3,0,0
4,98.26,6,2,1,0,2,2,0,0,0
0,91.56,3,2,1,3,3,3,0,0,0
2,88.96,3,4,0,0,0,0,0,0,1
1,67.44,2,4,0,3,3,0,3,0,0
0,96.38,7,0,0,3,3,3,0,0,0
1,93.11,5,1,1,0,0,1,0,0,0
5,66.55,9,2,1,0,0,0,3,3,3
1,94.85,5,0,0,0,0,0,2,2,0
2,70.89,9,3,1,0,0,2,0,2,0
5,63.23,9,3,0,0,2,2,0,0,0
1,86.27,8,1,0,1,0,0,0,0,0
5,86.15,2,3,1,0,0,0,2,0,2
1,63.8,3,1,1,3,0,0,0,3,3
2,72.75,2,3,1,3,0,0,3,0,3
1,99.71,2,3,0,3,3,0,0,3,0
1,87.14,0,2,1,0,0,3,0,3,3
1,89.2,9,4,0,0,1,0,0,0,0
0,68.52,5,2,0,1,0,0,0,0,0
0,63.15,8,0,1,0,1,0,0,0,0
0,71.08,4,4,1,3,0,3,0,3,0
2,69.96,9,2,1,0,0,0,3,3,3
5,69.38,1,4,0,0,0,0,0,2,2
4,67.71,9,4,1,2,0,0,0,0,2
1,82.99,3,4,0,0,0,1,0,0,0
1,73.12,5,3,0,3,0,3,3,0,0
2,92.81,6,4,0,0,0,1,0,0,0
1,67.36,6,3,1,0,0,0,1,0,0
0,78.59,3,4,1,0,0,2,2,0,0
4,60.55,9,3,1,0,0,2,2,0,0
3,79.27,9,4,0,1,0,0,0,0,0
1,62.23,4,0,0,3,3,0,0,0,3
0,99.11,3,2,0,3,0,0,0,3,3
3,91.62,9,4,1,0,0,3,3,3,0
4,79.6,5,0,1,0,0,0,2,0,2
3,63.46,6,2,0,2,2,0,0,0,0
0,83.7,1,1,0,3,3,0,0,0,3
5,90.35,9,4,0,1,0,0,0,0,0
5,67.63,2,1,0,0,0,2,0,2,0
3,82.73,7,2,0,0,0,0,2,0,2
2,92.57,6,2,0,0,3,0,0,3,3
3,90.73,0,4,1,3,0,0,0,3,3
1,92.12,3,0,0,3,3,0,0,3,0
1,95.17,4,4,1,0,0,2,2,0,0
5,97.51,2,0,0,0,2,2,0,0,0
2,76.22,3,4,0,0,0,3,0,3,3
0,82.75,9,0,1,0,3,0,0,3,3
1,91.63,9,3,1,0,0,0,2,2,0
5,87.89,9,0,1,0,2,2,0,0,0
4,99.82,6,0,1,0,0,0,0,0,1
5,60.55,7,2,0,2,2,0,0,0,0
1,74.21,8,1,0,0,0,1,0,0,0
1,71.24,1,4,0,0,0,0,1,0,0
5,70.49,3,2,0,0,2,0,2,0,0
0,68.9,0,1,1,0,0,2,0,0,2
3,88.36,2,2,0,0,2,0,0,0,2
1,63.39,7,2,1,1,0,0,0,0,0
5,89.66,6,4,0,0,0,1,0,0,0
5,87.74,7,3,0,0,1,0,0,0,0
2,70.03,5,2,1,3,3,0,0,0,3
3,70.11,4,4,0,1,0,0,0,0,0
4,85.15,9,0,0,0,0,0,0,0,1
0,90.49,8,1,1,3,0,0,0,3,3
4,95.06,4,4,0,3,3,0,0,0,3
3,94.09,8,3,0,0,0,3,0,3,3
3,98.6,3,4,0,0,0,0,2,2,0
3,83.26,4,4,1,0,0,3,3,0,3
4,96.35,0,0,1,3,0,0,0,3,3
3,92.34,5,1,0,3,0,3,0,3,0
5,95.79,2,1,0,0,0,0,0,1,0
4,60.47,9,3,0,2,0,0,0,2,0
3,98.64,1,1,0,0,0,1,0,0,0
5,78.94,5,0,1,3,0,3,3,0,0
2,91.93,0,3,1,0,2,0,2,0,0
3,65.09,8,0,1,0,0,2,2,0,0
4,75.84,4,0,0,0,2,0,0,2,0
1,70.86,6,4,1,2,0,0,2,0,0
3,71.67,9,4,1,0,0,0,0,2,2
1,64.93,8,4,0,1,0,0,0,0,0
5,92.23,8,2,1,0,0,2,0,0,2
2,60.37,6,0,0,0,1,0,0,0,0
0,72.5,3,1,0,0,0,0,2,0,2
2,66.98,3,3,0,1,0,0,0,0,0
3,83.56,6,2,1,0,0,2,0,2,0
1,70.17,7,4,1,0,0,2,0,2,0
1,70.36,6,2,0,0,3,0,3,3,0
4,79.53,9,2,1,0,0,0,0,0,1
1,86.11,3,0,1,0,0,1,0,0,0
4,64.85,3,0,0,0,3,3,0,3,0
5,67.02,7,1,1,0,3,3,0,0,3
0,69.89,8,3,1,0,0,0,1,0,0
3,98.95,6,3,0,0,0,0,0,0,1
4,75.89,2,4,0,0,0,1,0,0,0
0,83.96,9,1,1,0,0,3,0,3,3
1,69.66,0,3,0,0,3,3,0,3,0
1,79.62,4,2,0,0,0,2,2,0,0
0,62.96,5,2,0,0,0,2,0,2,0
1,61.39,8,3,1,0,0,2,0,2,0
5,78.75,4,2,0,3,0,0,3,3,0
5,75.95,0,2,0,3,0,0,3,3,0
0,65.48,3,4,1,0,2,0,2,0,0
4,87.5,1,2,1,1,0,0,0,0,0
4,99.72,3,3,1,0,0,3,3,3,0
0,75.83,6,0,1,0,3,0,3,0,3
4,84.98,8,2,0,0,2,0,0,2,0
4,98.52,2,3,1,1,0,0,0,0,0
5,93.26,2,2,0,2,0,0,0,2,0
4,78.54,3,1,0,2,2,0,0,0,0
2,89.5,6,4,1,0,0,0,0,1,0
3,65.13,5,0,1,0,0,2,2,0,0
1,80.48,4,2,1,0,0,1,0,0,0
2,71.16,3,3,0,0,2,0,2,0,0
4,66.45,7,0,0,3,3,0,0,0,3
5,77.05,3,2,1,3,0,0,3,0,3
0,65.24,2,1,0,3,0,0,3,3,0
4,87.96,6,3,0,0,0,3,3,3,0
5,78.25,1,4,1,2,0,2,0,0,0
3,81.25,3,2,1,2,0,0,0,0,2
4,65.86,7,3,1,2,0,0,0,2,0
0,65.59,3,2,1,2,0,0,0,0,2
5,83.34,9,4,0,0,3,3,0,0,3
5,99.4,6,1,1,3,0,0,3,3,0
5,63.85,1,4,1,0,0,0,0,1,0
3,71.43,4,4,0,0,0,0,0,2,2
4,94.78,3,4,1,0,0,0,1,0,0
3,62.89,8,0,0,0,0,0,1,0,0
1,95.04,6,3,0,0,0,0,3,3,3
1,80.97,8,2,0,2,0,0,0,0,2
4,76.33,9,1,0,0,0,0,3,3,3
3,72.39,6,2,1,0,0,0,2,2,0
0,71.88,1,0,0,3,3,3,0,0,0
5,72.23,1,1,1,0,0,0,0,1,0
5,95.39,1,0,0,0,0,0,2,0,2
4,88.95,4,2,0,0,0,0,0,0,1
1,86.79,0,1,1,3,0,3,0,3,0
1,91.95,6,2,0,0,3,0,0,3,3
5,70.28,1,3,1,0,0,0,0,0,1
4,84.72,3,0,0,0,3,0,3,0,3
3,78.4,8,3,0,0,0,1,0,0,0
1,91.3,7,3,0,0,0,0,1,0,0
3,72.37,9,2,0,3,0,3,0,3,0
1,85.73,1,2,1,0,3,0,3,3,0
1,95.29,3,4,1,3,0,3,3,0,0
2,76.09,3,4,0,2,0,0,0,0,2
1,62.66,1,1,1,0,0,0,0,0,1
0,80.64,1,2,1,0,2,0,0,0,2
4,73.84,4,0,0,0,3,0,3,3,0
4,86.89,3,2,1,0,0,1,0,0,0
3,98.04,7,2,0,0,3,0,0,3,3
1,79.42,3,3,1,2,2,0,0,0,0
0,78.65,7,3,0,2,0,0,2,0,0
3,86.18,4,4,1,0,0,2,0,0,2
2,64.14,0,1,0,3,0,0,0,3,3
3,70.14,8,1,1,0,0,0,0,0,1
3,96.76,7,2,1,3,3,0,3,0,0
1,86.8,0,0,1,0,3,0,0,3,3
2,60.54,2,3,1,1,0,0,0,0,0
3,68.19,2,0,0,0,3,3,0,3,0
0,87.31,4,3,1,0,2,2,0,0,0
0,90.58,6,2,0,0,2,0,0,0,2
4,93.59,0,1,1,0,0,0,0,1,0
2,71.69,0,2,1,2,2,0,0,0,0
2,97.24,9,3,1,0,0,1,0,0,0
4,82.12,5,1,1,0,0,2,2,0,0
3,87.86,4,0,0,0,0,0,3,3,3
2,83.87,2,0,0,0,2,0,0,2,0
0,64.91,2,4,1,2,0,0,0,2,0
0,98.52,3,0,1,0,0,0,0,0,1
1,64.92,9,4,0,3,3,0,3,0,0
2,70.2,1,1,1,3,3,0,0,0,3
3,92.55,8,2,1,1,0,0,0,0,0
4,84.74,3,2,1,0,0,0,0,0,1
4,93.53,9,1,0,0,0,0,1,0,0
3,80.63,2,1,0,0,2,0,0,0,2
5,75.08,9,3,0,1,0,0,0,0,0
1,96.87,6,0,1,0,0,1,0,0,0
4,61.45,8,0,0,2,0,0,2,0,0
2,94.25,1,0,1,3,0,0,0,3,3
1,69.23,5,4,0,0,3,3,0,0,3
2,93.95,4,0,0,0,0,0,0,1,0
0,65.57,0,3,1,0,3,3,0,3,0
1,83.21,6,2,1,0,0,2,0,0,2
4,95.52,0,2,0,0,0,0,0,1,0
1,78.94,9,4,0,0,0,0,0,0,1
1,89.86,8,3,0,0,0,1,0,0,0
1,92.19,3,1,0,0,3,3,0,3,0
5,89.46,7,2,1,3,3,0,3,0,0
1,97.01,0,3,1,0,3,0,3,0,3
2,77.87,4,1,0,3,0,3,0,0,3
0,66.93,2,4,0,1,0,0,0,0,0
3,61.91,3,0,1,0,2,0,0,0,2
1,69.86,3,3,0,0,0,0,2,2,0
4,65.73,7,2,0,0,0,0,2,2,0
1,82.32,9,4,1,2,2,0,0,0,0
4,67.4,9,3,0,0,0,0,0,1,0
2,61.56,2,4,0,0,0,0,0,2,2
4,61.44,0,1,1,3,0,0,3,3,0
3,93.26,4,3,1,0,2,0,2,0,0
0,83.66,1,0,1,3,0,3,0,3,0
4,74.32,5,1,1,2,0,0,2,0,0
4,95.77,3,0,1,3,0,3,0,3,0
0,62.81,8,4,1,0,0,0,0,0,1
3,99.21,6,0,1,0,0,3,3,3,0
1,84.65,1,1,0,0,0,1,0,0,0
4,67.34,6,1,1,3,3,3,0,0,0
0,87.16,9,1,1,0,2,0,0,0,2
2,90.54,7,4,1,2,0,0,0,0,2
0,77.17,2,2,1,0,0,0,3,3,3
